ticker,name,missing_count,fetch_start,fetch_end,before_rows,fetched_rows,after_rows,missing_dates_present_before,missing_dates_present_after,status
000720,현대건설,1,2023-06-16,2023-08-10,672,40,712,0,1,ok
001440,대한전선,3,2021-06-12,2023-06-30,813,507,1078,0,3,ok
001510,SK증권,1,2021-03-28,2021-05-22,772,38,810,0,1,ok
005490,POSCO홀딩스,5,2023-03-24,2025-05-15,753,521,1063,0,5,ok
006400,삼성SDI,3,2022-06-12,2023-09-07,833,310,1001,0,3,ok
010170,대한광통신,3,2022-06-03,2025-08-07,838,779,1245,0,3,ok
012450,한화에어로스페이스,2,2023-07-21,2025-08-29,785,513,1068,0,2,ok
034020,두산에너빌리티,4,2021-05-23,2022-08-04,753,299,952,0,4,ok
042700,한미반도체,3,2022-06-10,2023-05-26,753,240,851,0,3,ok
047040,대우건설,2,2021-05-23,2021-08-06,672,55,727,0,2,ok
066570,LG전자,1,2021-08-24,2021-10-18,672,35,690,0,1,ok
086520,에코프로,1,2021-07-30,2021-09-23,772,36,806,0,1,ok
222080,씨아이에스,4,2022-06-10,2023-06-02,744,244,846,0,4,ok
241520,DSC인베스트먼트,1,2023-03-26,2023-05-20,672,38,710,0,1,ok
267260,HD현대일렉트릭,1,2023-07-15,2023-09-08,753,39,792,0,1,ok
298380,에이비엘바이오,3,2021-08-23,2025-03-30,835,881,1244,0,3,ok
329180,HD현대중공업,1,2025-07-11,2025-09-04,553,39,569,0,1,ok
