hypothesis_id,market_regime,direction,dominant_followup,action_hint,event_count,company_count,external_review_count,d5_sample_count,d5_avg_score,d5_median_score,d5_hit_rate,d5_worst_score,d5_best_score,d10_sample_count,d10_avg_score,d10_median_score,d10_hit_rate,d10_worst_score,d10_best_score
H01,변동성 장세,up,상승지속,진입 후보,10,9,10,10,13.312999999999999,10.55,0.8,-2.94,45.06,9,24.93111111111111,12.21,1.0,4.21,80.27
H06,변동성 장세,up,상승지속,진입 후보,33,20,0,32,10.443750000000001,6.585,0.875,-8.3,60.8,30,14.77266666666667,7.91,0.7333333333333333,-6.71,54.93
H08,변동성 장세,down,하락후반등,반등 관찰 후보,30,23,29,28,8.236428571428572,5.6,0.7857142857142857,-11.42,71.26,25,14.341199999999999,12.29,0.72,-26.8,73.14
H02,변동성 장세,down,하락후반등,반등 관찰 후보,16,12,0,14,6.242857142857143,5.23,0.8571428571428571,-7.01,27.38,14,13.12571428571429,10.545,0.7857142857142857,-4.97,40.84
H05,변동성 장세,up,상승지속,진입 후보,15,10,0,14,8.9,6.9350000000000005,0.8571428571428571,-4.64,57.36,14,12.064285714285715,8.28,0.7142857142857143,-6.04,63.71
H07,AI/전력기기 테마장,down,하락후반등,반등 관찰 후보,21,10,17,21,6.61,5.44,0.7142857142857143,-5.49,23.23,21,10.481904761904762,7.88,0.7142857142857143,-13.7,48.66
H03,유동성/저금리 후반장,up,상승실패,추격매수 회피 후보,15,11,13,14,6.082142857142856,5.595,0.7857142857142857,-18.37,26.41,12,6.834166666666666,8.725,0.6666666666666666,-10.89,19.37
H09,AI/전력기기 테마장,up,상승실패,추격매수 회피 후보,42,26,36,38,3.6881578947368423,4.205,0.7631578947368421,-25.77,16.33,34,4.366764705882352,4.755,0.7058823529411765,-17.73,25.77
H04,금리 인상/긴축장,up,상승실패,추격매수 회피 후보,31,17,28,28,5.254285714285714,5.58,0.8214285714285714,-11.48,18.29,28,4.210714285714286,5.1899999999999995,0.75,-21.44,22.37
