hypothesis_id,market_regime,direction,amount_tag,flow_category,dart_tag,window_category,dominant_followup,dominant_rate,event_count,usable_event_count,company_count,avg_event_chg_pct,avg_d1_return,avg_d3_return,avg_d5_return,avg_d10_return,external_review_count,action_hint,d5_positive_rate,d10_positive_rate
H01,변동성 장세,up,거래대금약함,수급엇갈림,주변공시부재,선반영,상승지속,0.8,10,10,9,6.902487337320491,6.287000000000001,9.529,13.312999999999999,24.93111111111111,10,진입 후보,0.8,1.0
H02,변동성 장세,down,거래대금약함,외국인기관동반매도,주변공시부재,직접반응,하락후반등,0.7857142857142857,16,14,12,-5.255382446941111,1.8831250000000002,2.5885714285714285,6.242857142857143,13.125714285714285,0,반등 관찰 후보,0.8571428571428571,0.7857142857142857
H03,유동성/저금리 후반장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,0.7333333333333333,15,15,11,12.790096252611086,-2.026666666666667,-1.3859999999999995,-6.082142857142857,-6.834166666666666,13,추격매수 회피 후보,0.21428571428571427,0.3333333333333333
H04,금리 인상/긴축장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,0.7142857142857143,31,28,17,9.58970258861719,-1.274137931034483,-3.7342857142857144,-5.2542857142857144,-4.210714285714286,28,추격매수 회피 후보,0.17857142857142858,0.25
H05,변동성 장세,up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,상승지속,0.7142857142857143,15,14,10,4.919913201010937,2.593571428571429,6.373571428571429,8.9,12.064285714285715,0,진입 후보,0.8571428571428571,0.7142857142857143
H06,변동성 장세,up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,상승지속,0.6875,33,32,20,7.6296534528380535,4.913030303030303,7.663125,10.44375,14.772666666666668,0,진입 후보,0.875,0.7333333333333333
H07,AI/전력기기 테마장,down,거래대금약함,외국인기관동반매수,주변공시부재,선반영,하락후반등,0.6666666666666666,21,21,10,-6.673850041406185,1.6076190476190475,3.2685714285714287,6.61,10.481904761904762,17,반등 관찰 후보,0.7142857142857143,0.7142857142857143
H08,변동성 장세,down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,하락후반등,0.6551724137931034,30,29,23,-5.5321654137831615,2.173793103448276,6.761379310344828,8.236428571428572,14.3412,29,반등 관찰 후보,0.7857142857142857,0.72
H09,AI/전력기기 테마장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,상승실패,0.65,42,40,26,9.250087709163564,-1.3395238095238096,-2.929,-3.6881578947368423,-4.366764705882353,36,추격매수 회피 후보,0.23684210526315788,0.29411764705882354
